event,parameter,station,date,min,max,mean,median,total,station_name
Matthew,atemp,acebpmet,2016-10-05,66.74,72.5,69.2457894736842,69.26,NA,Bennett's Point (BP)
Matthew,atemp,acebpmet,2016-10-06,66.56,74.12,69.5075,68,NA,Bennett's Point (BP)
Matthew,atemp,acebpmet,2016-10-07,69.62,77.54,72.756875,70.88,NA,Bennett's Point (BP)
Matthew,atemp,acebpmet,2016-10-08,71.78,76.82,74.519375,74.84,NA,Bennett's Point (BP)
Matthew,atemp,acebpmet,2016-10-09,63.5,78.08,70.840625,70.61,NA,Bennett's Point (BP)
Matthew,atemp,acebpmet,2016-10-10,55.58,71.78,63.69875,62.51,NA,Bennett's Point (BP)
Matthew,atemp,acebpmet,2016-10-11,55.22,59.72,57.3376470588235,57.2,NA,Bennett's Point (BP)
Matthew,atemp,niwolmet,2016-10-05,67.46,74.66,70.726052631579,70.25,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-06,65.3,72.68,69.71,70.16,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-07,70.52,79.88,75.175625,76.1,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-08,71.06,78.8,76.090625,76.82,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-09,64.04,74.48,69.573125,69.44,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-10,56.3,69.08,62.1875,61.16,NA,Oyster Landing (OL)
Matthew,atemp,niwolmet,2016-10-11,59.36,62.78,60.5776470588235,60.26,NA,Oyster Landing (OL)
Matthew,atemp,nocrcmet,2016-10-05,67.82,82.04,73.4781578947368,72.95,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-06,66.74,77.36,70.926875,70.43,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-07,71.24,79.7,76.278125,77.27,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-08,68,79.7,77.313125,77.9,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-09,62.78,75.2,68.5325,67.46,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-10,53.6,69.8,61.518125,60.98,NA,Research Creek (RC)
Matthew,atemp,nocrcmet,2016-10-11,56.48,58.1,57.2635294117647,57.2,NA,Research Creek (RC)
Matthew,bp,acebpmet,2016-10-05,30.0023623907394,30.090952043468,30.0416060526937,30.0318922749823,NA,Bennett's Point (BP)
Matthew,bp,acebpmet,2016-10-06,30.0023623907394,30.090952043468,30.0509636585558,30.0614221592251,NA,Bennett's Point (BP)
Matthew,bp,acebpmet,2016-10-07,29.6184738955823,30.0318922749823,29.8673246909205,29.884242853768,NA,Bennett's Point (BP)
Matthew,bp,acebpmet,2016-10-08,28.9392865579967,29.7956532010395,29.3859260571699,29.4412945901252,NA,Bennett's Point (BP)
Matthew,bp,acebpmet,2016-10-09,29.7956532010395,30.090952043468,29.994364713757,30.0318922749823,NA,Bennett's Point (BP)
Matthew,bp,acebpmet,2016-10-10,30.090952043468,30.297661233168,30.2281429640129,30.2386014646823,NA,Bennett's Point (BP)
Matthew,bp,acebpmet,2016-10-11,30.2681313489251,30.3271911174108,30.3028723892108,30.297661233168,NA,Bennett's Point (BP)
Matthew,bp,niwolmet,2016-10-05,29.9728325064966,30.0614221592251,30.0163502306439,30.0023623907394,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-06,30.0023623907394,30.0614221592251,30.0328150838649,30.0318922749823,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-07,29.7365934325537,30.0023623907394,29.8990077958894,29.9137727380109,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-08,28.673517599811,29.7365934325537,29.3413236278447,29.3822348216395,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-09,29.5889440113395,30.0614221592251,29.8891645011418,29.9580675643751,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-10,30.0614221592251,30.2681313489251,30.1909230057485,30.2090715804394,NA,Oyster Landing (OL)
Matthew,bp,niwolmet,2016-10-11,30.2386014646823,30.297661233168,30.2768166089965,30.2681313489251,NA,Oyster Landing (OL)
Matthew,bp,nocrcmet,2016-10-05,29.9728325064966,30.0318922749823,30.0097448618001,30.0023623907394,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-06,30.0023623907394,30.0614221592251,30.0383519371604,30.0318922749823,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-07,29.8547129695252,30.0023623907394,29.9451482400189,29.9433026222537,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-08,29.1164658634538,29.8547129695252,29.5261930073234,29.5446491849752,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-09,29.2345854004252,30.0318922749823,29.7381314473581,29.8251830852823,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-10,30.0318922749823,30.2681313489251,30.1736972399402,30.2090715804394,NA,Research Creek (RC)
Matthew,bp,nocrcmet,2016-10-11,30.2681313489251,30.297661233168,30.285501869068,30.297661233168,NA,Research Creek (RC)
Matthew,intensprcp,acebpmet,2016-10-05,0,0,0,0,NA,Bennett's Point (BP)
Matthew,intensprcp,acebpmet,2016-10-06,0,0,0,0,NA,Bennett's Point (BP)
Matthew,intensprcp,acebpmet,2016-10-07,0,1.40157480314961,0.101541994750656,0,NA,Bennett's Point (BP)
Matthew,intensprcp,acebpmet,2016-10-08,0,1.60629921259843,0.373031496062992,0.283464566929134,NA,Bennett's Point (BP)
Matthew,intensprcp,acebpmet,2016-10-09,0,0,0,0,NA,Bennett's Point (BP)
Matthew,intensprcp,acebpmet,2016-10-10,0,0,0,0,NA,Bennett's Point (BP)
Matthew,intensprcp,acebpmet,2016-10-11,0,0,0,0,NA,Bennett's Point (BP)
Matthew,intensprcp,niwolmet,2016-10-05,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-06,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-07,0,1.00787401574803,0.0264107611548556,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-08,0,1.03937007874016,0.211286089238845,0.125984251968504,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-09,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-10,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,niwolmet,2016-10-11,0,0,0,0,NA,Oyster Landing (OL)
Matthew,intensprcp,nocrcmet,2016-10-05,0,0,0,0,NA,Research Creek (RC)
Matthew,intensprcp,nocrcmet,2016-10-06,0,0,0,0,NA,Research Creek (RC)
Matthew,intensprcp,nocrcmet,2016-10-07,0,0,0,0,NA,Research Creek (RC)
