event,parameter,station,date,min,max,mean,median,station_name
Matthew,cdepth,aceeiwq,2016-10-05,5.9383204,11.1220476,8.32124629473684,8.1692916,Edisto Island (EI)
Matthew,cdepth,aceeiwq,2016-10-06,6.4960632,11.3517064,8.8746722,9.0059058,Edisto Island (EI)
Matthew,cdepth,aceeiwq,2016-10-07,6.7913388,11.975066,9.43173149166667,9.4980318,Edisto Island (EI)
Matthew,cdepth,aceeiwq,2016-10-08,4.593176,13.8123364,10.0872159833333,10.0393704,Edisto Island (EI)
Matthew,cdepth,aceeiwq,2016-10-09,4.5603676,10.66273,7.87025670416667,8.0052496,Edisto Island (EI)
Matthew,cdepth,aceeiwq,2016-10-10,5.8727036,11.4173232,8.76736139166667,9.0387142,Edisto Island (EI)
Matthew,cdepth,aceeiwq,2016-10-11,6.3320212,8.4317588,7.01327797647059,6.8241472,Edisto Island (EI)
Matthew,cdepth,acefcwq,2016-10-05,7.0209976,12.2703416,9.95778108947368,10.3838586,Fishing Creek (FC)
Matthew,cdepth,acefcwq,2016-10-06,7.4146984,12.467192,10.3339624916667,10.7283468,Fishing Creek (FC)
Matthew,cdepth,acefcwq,2016-10-07,7.7755908,13.0577432,10.7963558791667,11.2040686,Fishing Creek (FC)
Matthew,cdepth,acefcwq,2016-10-08,6.4304464,15.2230976,12.018127025,11.48294,Fishing Creek (FC)
Matthew,cdepth,acefcwq,2016-10-09,5.4790028,11.8438324,9.1791751625,9.678478,Fishing Creek (FC)
Matthew,cdepth,acefcwq,2016-10-10,6.6601052,12.5984256,10.049623025,10.6299216,Fishing Creek (FC)
Matthew,cdepth,acefcwq,2016-10-11,7.3490816,11.5485568,9.08020717647059,8.8254596,Fishing Creek (FC)
Matthew,cdepth,acegpwq,2016-10-05,8.3989504,13.7139112,11.3892633842105,11.7125988,Grove Plantation (GP)
Matthew,cdepth,acegpwq,2016-10-06,8.5958008,13.8779532,11.6644114625,12.057087,Grove Plantation (GP)
Matthew,cdepth,acegpwq,2016-10-07,8.9895016,14.435696,12.083743825,12.5328088,Grove Plantation (GP)
Matthew,cdepth,acegpwq,2016-10-08,9.7440948,15.8136488,13.2723648166667,13.12336,Grove Plantation (GP)
Matthew,cdepth,acegpwq,2016-10-09,7.8083992,13.3202104,10.7966976333333,11.1712602,Grove Plantation (GP)
Matthew,cdepth,acegpwq,2016-10-10,8.366142,14.0419952,11.5123308583333,11.9914702,Grove Plantation (GP)
Matthew,cdepth,acegpwq,2016-10-11,9.186352,13.0249348,10.9715149411765,10.9251972,Grove Plantation (GP)
Matthew,cdepth,acejiwq,2016-10-05,13.4186356,18.6679796,16.1041758157895,16.2237538,Jehossee Island (JI)
Matthew,cdepth,acejiwq,2016-10-06,13.8123364,18.7992132,16.5610651625,16.8307092,Jehossee Island (JI)
Matthew,cdepth,acejiwq,2016-10-07,14.1404204,19.3897644,17.0511406375,17.3392394,Jehossee Island (JI)
Matthew,cdepth,acejiwq,2016-10-08,13.0905516,21.2598432,17.9215885,17.8313654,Jehossee Island (JI)
Matthew,cdepth,acejiwq,2016-10-09,11.975066,18.2414704,15.5135886416667,15.8628614,Jehossee Island (JI)
Matthew,cdepth,acejiwq,2016-10-10,13.12336,18.9304468,16.3840365041667,16.9127302,Jehossee Island (JI)
