event,reserve_code,station,station_name,parameter,min,max,mean,median
Matthew,ace,acefcwq,Fishing Creek (FC),cdepth,5.4790028,15.2230976,10.365393139267,10.6955384
Matthew,ace,acemcwq,Mosquito Creek (MC),cdepth,5.6758532,18.7992132,12.2406250910995,12.1062996
Matthew,ace,acespwq,St. Pierre (SP),cdepth,5.7742784,15.2230976,10.1223361445026,10.2034124
Matthew,ace,aceeiwq,Edisto Island (EI),cdepth,4.5603676,13.8123364,8.8562639965096,8.9566932
Matthew,ace,acegpwq,Grove Plantation (GP),cdepth,7.8083992,15.8136488,11.776154339267,12.0734912
Matthew,ace,acejiwq,Jehossee Island (JI),cdepth,11.975066,21.2598432,16.5555308921466,16.7650924
Matthew,niw,niwcbwq,Clambank (CB),cdepth,2.7230972,11.811024,6.88546970680628,6.8241472
Matthew,niw,niwdcwq,Debidue Creek (DC),cdepth,6.3320212,15.1902892,9.75251161465969,9.6128612
Matthew,niw,niwolwq,Oyster Landing (OL),cdepth,3.6745408,12.7624676,7.3580867027972,7.2506564
Matthew,niw,niwtawq,Thousand Acre (TA),cdepth,7.3490816,13.7467196,9.74684314764398,9.6456696
Matthew,niw,niwwswq,Winyah Bay Surface (WS),cdepth,1.9028872,8.2021,4.27557007539267,4.1666668
Matthew,niw,niwwbwq,Winyah Bay Bottom (WB),cdepth,15.2230976,21.5879272,17.5867910883072,17.4868772
Matthew,noc,nocrcwq,Research Creek (RC),cdepth,3.3136484,9.8097116,6.06422907643979,5.9383204
Matthew,noc,noczbwq,Zeke's Basin (ZB),cdepth,0.1312336,6.6272968,2.51330666317627,2.4278216
Matthew,niw,niwolwq,Oyster Landing (OL),chlfluor,5.2,22.9,10.7788461538462,10.1
Matthew,niw,niwwswq,Winyah Bay Surface (WS),chlfluor,6.1,13.9,7.74816753926702,7.4
Matthew,noc,nocrcwq,Research Creek (RC),chlfluor,1.2,45.9,3.71448516579407,3.4
Matthew,ace,acefcwq,Fishing Creek (FC),depth,5.3805776,14.2060372,10.3877807211169,10.7283468
Matthew,ace,acemcwq,Mosquito Creek (MC),depth,5.6102364,17.7493444,12.2630126729494,12.2703416
Matthew,ace,acespwq,St. Pierre (SP),depth,5.6758532,14.4685044,10.1447237263525,10.2362208
Matthew,ace,aceeiwq,Edisto Island (EI),depth,4.4619424,13.0577432,8.87865157835951,8.9895016
Matthew,ace,acegpwq,Grove Plantation (GP),depth,7.9068244,14.8293968,11.7985419211169,12.1062996
Matthew,ace,acejiwq,Jehossee Island (JI),depth,11.9094492,20.4068248,16.5779184739965,16.7979008
Matthew,niw,niwcbwq,Clambank (CB),depth,2.46063,10.498688,6.87104088167539,6.889764
Matthew,niw,niwdcwq,Debidue Creek (DC),depth,6.069554,13.779528,9.7380827895288,9.7112864
Matthew,niw,niwolwq,Oyster Landing (OL),depth,3.4120736,11.3845148,7.34340322307692,7.3162732
